Kingdom,Phylum,Class,Order,Family,Genus,Species,Response,MeanR,ResponseToCO2Increase
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Arm length,0.75,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Swimming performance,0.75,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Relative growth,0.623333333,Increases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Relative growth,0.623333333,Increases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Feeding rate,0.623333333,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Feeding rate,0.722222222,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,bairdi,Calcified mass,0.694444444,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,bairdi,Calcified mass,0.694444444,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Size,0.722222222,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Size,0.633333333,Other
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Symmetry,0.722222222,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Symmetry,0.722222222,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Size,0.633333333,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Size,0.633333333,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Shell strength,0.633333333,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,bairdi,Shell area,0.605555556,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,bairdi,Shell thickness,0.605555556,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,bairdi,Tissue mass,0.605555556,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Condition,0.722222222,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Fertilization efficiency,0.722222222,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Time of egg polyspermy block,0.633333333,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Sperm concentration needed,0.633333333,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Development to D stage,0.633333333,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Abnormality,0.633333333,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Size,0.666666667,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Growth,0.666666667,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Full shell mineralization,0.577777778,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Lack of shell mineralization,0.577777778,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Survival,0.633333333,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Growth,0.633333333,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Shell size,0.633333333,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Settlement,0.633333333,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Hatch rate,0.666666667,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Hatch rate,0.666666667,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Nauplius swimming behavior,0.666666667,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Nauplius swimming behavior,0.666666667,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Hatching success,0.666666667,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Pecten,maximus,Hatching success,0.666666667,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,deltaura,Hatching success,0.712222222,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,deltaura,Apoptotic eggs/larvae,0.656666667,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,deltaura,Apoptotic eggs/larvae,0.656666667,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,deltaura,Apoptotic eggs/larvae,0.623333333,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,deltaura,Preference,0.656666667,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,deltaura,Respiration,0.656666667,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,deltaura,Food consumption,0.623333333,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,deltaura,Feeding rate,0.69,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,deltaura,Survival,0.623333333,Other
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,elegans,Egg production rate,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,elegans,Survival,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,elegans,Survival,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,serratus,Survival,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,serratus,Egg production rate,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,serratus,Egg production rate,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,serratus,Hatching success,0.545555556,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,serratus,Hatching success,0.545555556,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,serratus,Survival,0.545555556,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,elegans,Egg production rate,0.545555556,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,elegans,Fertilization rate,0.545555556,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,elegans,Fertilization rate,0.545555556,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,elegans,Body length,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,elegans,Body length,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,elegans,Survival,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,serratus,Survival,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,serratus,Survival,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,serratus,Egg production,0.601111111,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Egg production,0.638888889,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Egg production rate,0.638888889,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Egg hatch rate,0.638888889,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Egg hatch rate,0.638888889,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Naupliar mortality post hatch,0.55,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Naupliar mortality post hatch,0.527777778,No_Response
Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Atractoscion,nobilis,Survival,0.762222222,Increases
Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotidae,Haliotis,kamtschatkana,Egg production rate,0.861111111,Decreases
Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotidae,Haliotis,kamtschatkana,Hatch success,0.772222222,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,lurida,Egg production,0.944444444,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,lurida,Egg hatch success,0.944444444,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,lurida,Survival,0.944444444,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Ostrea,lurida,Developmental timing,0.944444444,Decreases
Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,trossulus,Size,0.734444444,Decreases
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Egg production,0.531111111,Increases
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Hatch rate,0.564444444,Increases
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Naupliar production,0.564444444,Decreases
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Naupliar production,0.564444444,Increases
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Naupliar production,0.564444444,Decreases
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Growth,0.564444444,Increases
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Growth,0.564444444,Decreases
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Growth,0.564444444,Increases
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,purpuratus,Size at sexual maturity,0.714444444,Increase
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,purpuratus,Size at sexual maturity,0.714444444,Increase
Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psuedo-nitzschia,fraudulenta,Size at sexual maturity,0.65,Increases
Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psuedo-nitzschia,fraudulenta,Growth,0.65,Increases
Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psuedo-nitzschia,fraudulenta,Growth,0.805555556,Increases
Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psuedo-nitzschia,fraudulenta,Growth,0.661111111,Other
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,purpuratus,Cuticle composition,0.758888889,Increases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Cuticle composition,0.764444444,Increases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Cuticle composition,0.842222222,Decreases
Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Mortality rate,0.762222222,Decreases
Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Mortality rate,0.817777778,Decreases
Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Carapace growth,0.817777778,Decreases
Animalia,Echinodermata,Echinoidea,Clypeasteroida,Dendrasteridae,Dendraster,excentricus,Growth,0.817777778,No_Response
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,ochraceus,Shape,0.916666667,Increases
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,ochraceus,Change in carapace length,0.916666667,Increases
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,ochraceus,Wet mass,0.805555556,No_Response
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,ochraceus,Body condition,0.805555556,No_Response
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,ochraceus,Calcium in carapace,0.772222222,Decreases
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,ochraceus,Magnesium,0.772222222,Decreases
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,purpuratus,Body condition,0.87,Decreases
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,purpuratus,Carapace magnesium,0.87,Decreases
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,purpuratus,Carapace calcium,0.87,No_Response
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,purpuratus,Survival rate,0.87,No_Response
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,purpuratus,Survival rate,0.823333333,Decreases
Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,trossulus,Condition index,0.786666667,Decreases
Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,californianus,Condition index,0.817777778,Decreases
Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,californianus,Muscle index,0.906666667,Decreases
Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,californianus,Muscle index,0.762222222,Decreases
Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,californianus,Compensation for extracellular acidosis,0.817777778,Decreases
Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,californianus,Compensation for extracellular acidosis,0.817777778,Increases
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,franciscanus,Clapping number,0.916666667,Decreases
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,franciscanus,Clapping number,0.916666667,Increases
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,franciscanus,Clap force,0.916666667,Increases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Clap force,0.731111111,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Recovery period from clapping fatigue,0.731111111,Increases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Recovery period from clapping fatigue,0.731111111,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Resting metabolic rate,0.731111111,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Resting metabolic rate,0.708888889,Decreases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Maximum metabolic rate,0.708888889,Increases
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Maximum metabolic rate,0.842222222,No_Response
Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Net aerobic scope,0.842222222,Decreases
Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotidae,Haliotis,kamtschatkana,Net aerobic scope,0.861111111,Decreases
Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotidae,Haliotis,kamtschatkana,Survival,0.861111111,No_Response
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Extracellular acid-base balance,0.75,Increases
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Oxygen consumption,0.75,Increases
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Wet weight,0.55,No_Response
Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,superba,Osmolality,0.55,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,helgolandicus,Haemolymph ions,0.75,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,helgolandicus,Shell ionic composition,0.75,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,helgolandicus,Shell calcification ratio,0.75,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,helgolandicus,Behavioral activities,0.694444444,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,helgolandicus,Osmotic capability,0.694444444,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,helgolandicus,Osmotic capability,0.694444444,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Centropagidae,Centropages,yamadai,Osmotic capability,0.475555556,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Centropagidae,Centropages,yamadai,Osmotic capacity,0.508888889,Increases
Animalia,Arthropoda,Maxillopoda,Calanoida,Centropagidae,Centropages,yamadai,Osmotic capacity,0.508888889,Other
Animalia,Arthropoda,Maxillopoda,Calanoida,Centropagidae,Centropages,yamadai,Osmotic capacity,0.508888889,Other
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,pacifica,Haemolymph pH,0.62,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,pacifica,Haemolymph pH,0.62,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,spinicauda,Haemolymph pH,0.62,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,sinicus,Haemolymph pH,0.62,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Centropagidae,Centropages,yamadai,Haemolymph pH,0.62,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,spinicauda,Haemolymph pH,0.62,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,sinicus,Haemolymph ions,0.62,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Centropagidae,Centropages,yamadai,Haemolymph ions,0.694444444,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,spinicauda,Haemolymph ions,0.694444444,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,steueri,Haemolymph ions,0.62,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,steueri,Haemolymph ions,0.62,Decreases
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Hemicentrotus,pulcherrimus,Haemolymph ions,0.722222222,Decreases
Animalia,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra,mathaei,Survival,0.694444444,Decreases
Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Hemicentrotus,pulcherrimus,Survival,0.647777778,Decreases
Animalia,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra,mathaei,Growth,0.564444444,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,steueri,Growth,0.62,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,erythraea,Length,0.675555556,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,erythraea,Feeding rate,0.62,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Feeding rate,0.527777778,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Moult frequency,0.616666667,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Moutling frequency,0.616666667,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Oxygen consumption,0.583333333,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Second antennae size,0.494444444,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,pacificus,Egg production,0.638888889,Decreases
Animalia,Mollusca,Cephalopoda,Teuthida,Ommastrephidae,Dosidicus,gigas,Oxygen consumption,0.814444444,Decreases
Animalia,Mollusca,Cephalopoda,Teuthida,Ommastrephidae,Dosidicus,gigas,Activity bouts,0.781111111,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Duration of zoea I and II,0.694444444,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Duration of zoea I and II,0.694444444,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Duration of zoea I and II,0.75,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Survival of megalopae,0.694444444,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Survival of megalopae,0.694444444,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Survival of megalopae,0.75,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Metamorphosis to crab 1,0.694444444,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Metamorphosis to crab 1,0.694444444,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Metamorphosis to crab 1,0.75,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Weight (dry): megalopae,0.694444444,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Weight (dry): megalopae,0.694444444,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Weight (dry): megalopae,0.75,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,C:N ratio in megalopae,0.605555556,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,C:N ratio in megalopae,0.605555556,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,C:N ratio in megalopae,0.661111111,Decreases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Embryonic development,0.722222222,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Embryonic development,0.722222222,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Embryo size,0.722222222,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Embryo size,0.722222222,No_Response
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Adult female carapace calcification,0.644444444,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Adult female carapace calcification,0.644444444,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Adult female carapace Mg/Ca,0.7,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Adult female carapace Mg/Ca,0.7,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Hatch duration,0.666666667,Increases
Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,camtschaticus,Hatch duration,0.666666667,Increases
